id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
3182,10.00000000,0.00004109,0.00001499,0.0000153092399404,knapsack,39,0,1,,79,40,-22474
3183,0.00510000,0.00001405,0.00006753,0.0000675480769231,knapsack,2,0,2,0.00006714,41,40,450
3184,0.02010000,0.00001419,0.00010060,0.000100638297872,srd,1,0,2,0.00488581,40,40,997
3185,0.44875000,0.00005516,0.00010498,0.000106899224806,bnb,7,0,1,,40,33,315
3186,0.00070000,0.00001234,0.00008749,0.0000875177304965,knapsack,1,0,2,0.00018766,40,40,867
3187,1.14558300,0.00002392,0.00001573,0.0000200335008375,bnb,17,0,1,,41,24,-9235
3188,0.01010000,0.00000570,0.00002736,0.0000274038461538,knapsack,2,0,2,0.00098640,24,23,-221
3189,0.04300000,0.00001840,0.00013044,0.000130496453901,srd,1,0,2,0.10678160,31,31,1259
3190,1.00000000,0.00001944,0.00013783,0.000137872340426,knapsack,1,0,2,1.49998056,31,31,1333
3191,1.00000000,0.00002409,0.00017079,0.000170851063830,knapsack,1,0,2,0.49995647,31,31,1692
3192,0.08000000,0.00001810,0.00012831,0.000128368794326,srd,1,0,2,0.02676350,31,31,1271
3193,0.00100000,0.00002389,0.00011481,0.000114855769231,knapsack,2,0,2,0.00016835,31,30,1238
3194,0.00400000,0.00003557,0.00025222,0.000252269503546,srd,1,0,2,0.01596443,34,34,2498
3195,10.16052300,0.00009636,0.00018578,0.000186744186047,bnb,7,0,1,,40,33,4095
3196,0.00110000,0.00002331,0.00016531,0.000165319148936,srd,1,0,2,0.02198857,34,34,1638
3197,0.02965700,0.00002669,0.00012827,0.000128317307692,srd,2,0,2,0.03381631,40,39,1431
3198,0.00110000,0.00002334,0.00016547,0.000165531914894,srd,1,0,2,0.00887666,39,39,1639
3199,0.00110000,0.00002605,0.00018471,0.000184751773050,srd,1,0,2,0.00887395,41,41,1830
3200,0.00510000,0.00001499,0.00004628,0.0000478913738019,bnb,4,0,1,,48,44,-1416
3201,0.00042200,0.00000981,0.00004712,0.0000471634615385,knapsack,2,0,2,0.00002000,45,44,109
3202,1.00000000,0.00006471,0.00031108,0.000311105769231,srd,2,0,2,0.00975807,46,45,4484
