----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_2019-2020-per-day
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 20.76619101 | 165.314307692 | 157 | 4650 | 5611 | 1850 | 5 | 1118 | bnb: **708** ; knapsack: **24** ; Total: **732** | 0.00000555 | 9.76032964 | 0.398453810322 | 1.25364074587 | 0.19881357 | 0.000107466794595 | 0.00106760000 | 0.19988117000 | 1 | 141 | 3.03297297297 | 5.62728175696 | knapsack: **380** ; bnb: **708** ; srd: **762** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 27.11833395 | 161.208000000 | 93 | 4990 | 6116 | 2010 | 5 | 1219 | bnb: **764** ; knapsack: **27** ; Total: **791** | 0.00000555 | 9.76032964 | 0.378006035299 | 1.20556895502 | 0.21134374 | 0.000105146139303 | 0.000632400000 | 0.211976140000 | 1 | 141 | 3.04278606965 | 5.53770371796 | knapsack: **419** ; bnb: **764** ; srd: **827** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 16.81524258 | 158.112266667 | 119 | 5335 | 6538 | 2165 | 5 | 1322 | bnb: **814** ; knapsack: **29** ; Total: **843** | 0.00000555 | 9.76032964 | 0.366520113775 | 1.16943159435 | 0.23219020 | 0.000107247205543 | 0.000809200000 | 0.232999400000 | 1 | 141 | 3.01986143187 | 5.39862659498 | knapsack: **430** ; bnb: **814** ; srd: **921** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 12.71874794 | 151.767500000 | 76 | 5654 | 7033 | 2346 | 5 | 1455 | bnb: **859** ; knapsack: **32** ; Total: **891** | 0.00000555 | 9.76032964 | 0.407519591409 | 1.21792999677 | 0.25241982 | 0.000107595831202 | 0.000516800000 | 0.252936620000 | 1 | 141 | 2.99786871270 | 5.30683227578 | knapsack: **468** ; bnb: **859** ; srd: **1019** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 26.41776113 | 146.683764706 | 73 | 5963 | 7493 | 2537 | 5 | 1603 | bnb: **901** ; knapsack: **33** ; Total: **934** | 0.00000555 | 9.76032964 | 0.395408875190 | 1.19088303657 | 0.26424998 | 0.000104158446985 | 0.000496400000 | 0.264746380000 | 1 | 141 | 2.95348837209 | 5.17937366148 | knapsack: **529** ; bnb: **901** ; srd: **1107** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 15.38935789 | 145.638888889 | 118 | 6278 | 7907 | 2722 | 5 | 1747 | bnb: **942** ; knapsack: **33** ; Total: **975** | 0.00000555 | 9.76032964 | 0.376639353446 | 1.14460793558 | 0.28279801 | 0.000103893464364 | 0.000802400000 | 0.283600410000 | 1 | 141 | 2.90484937546 | 5.05167548512 | knapsack: **558** ; bnb: **942** ; srd: **1222** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 19.34594419 | 143.376526316 | 93 | 6573 | 8383 | 2927 | 5 | 1903 | bnb: **989** ; knapsack: **35** ; Total: **1024** | 0.00000555 | 9.76032964 | 0.358965023416 | 1.10296066314 | 0.29898146 | 0.000102146040314 | 0.000632400000 | 0.299613860000 | 1 | 141 | 2.86402459857 | 4.92055413241 | knapsack: **613** ; bnb: **989** ; srd: **1325** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 13.18807528 | 141.244000000 | 88 | 6892 | 8838 | 3108 | 5 | 2034 | bnb: **1037** ; knapsack: **37** ; Total: **1074** | 0.00000555 | 9.76032964 | 0.345551156863 | 1.07068193663 | 0.31180694 | 0.000100323983269 | 0.000598400000 | 0.312405340000 | 1 | 141 | 2.84362934363 | 4.82463650775 | knapsack: **655** ; bnb: **1037** ; srd: **1416** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 12.80478892 | 137.082285714 | 43 | 7193 | 9343 | 3307 | 5 | 2193 | bnb: **1076** ; knapsack: **38** ; Total: **1114** | 0.00000555 | 9.76032964 | 0.376583401259 | 1.14597025525 | 0.33907895 | 0.000102533701240 | 0.000292400000 | 0.339371350000 | 1 | 141 | 2.82521923193 | 4.79687135623 | knapsack: **697** ; bnb: **1076** ; srd: **1534** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 11.93008189 | 133.825636364 | 83 | 7533 | 9764 | 3467 | 5 | 2314 | bnb: **1115** ; knapsack: **38** ; Total: **1153** | 0.00000555 | 9.76032964 | 0.376181323159 | 1.13095529965 | 0.35394297 | 0.000102089117393 | 0.000564400000 | 0.354507370000 | 1 | 141 | 2.81626766657 | 4.73930790133 | knapsack: **731** ; bnb: **1115** ; srd: **1621** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 26.98583175 | 132.386521739 | 151 | 7877 | 10152 | 3623 | 5 | 2426 | bnb: **1157** ; knapsack: **40** ; Total: **1197** | 0.00000555 | 9.76032964 | 0.367888384633 | 1.11125195868 | 0.36693018 | 0.000101277996136 | 0.00102680000 | 0.36795698000 | 1 | 141 | 2.80209770908 | 4.66708057549 | knapsack: **770** ; bnb: **1157** ; srd: **1696** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 15.12638413 | 133.743583333 | 18 | 8204 | 10719 | 3796 | 5 | 2533 | bnb: **1216** ; knapsack: **47** ; Total: **1263** | 0.00000555 | 9.76032964 | 0.362275229013 | 1.09944086485 | 0.38706946 | 0.000101967718651 | 0.000122400000 | 0.387191860000 | 1 | 141 | 2.82376185458 | 4.70351805878 | knapsack: **802** ; bnb: **1216** ; srd: **1778** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 24.20975313 | 131.965280000 | 127 | 8541 | 11065 | 3959 | 5 | 2651 | bnb: **1261** ; knapsack: **47** ; Total: **1308** | 0.00000555 | 9.76032964 | 0.367614243485 | 1.09346081294 | 0.40317270 | 0.000101837004294 | 0.000863600000 | 0.404036300000 | 1 | 141 | 2.79489770144 | 4.62984193193 | knapsack: **821** ; bnb: **1261** ; srd: **1877** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 20.49586204 | 132.651692308 | 162 | 8875 | 11463 | 4125 | 5 | 2750 | bnb: **1326** ; knapsack: **49** ; Total: **1375** | 0.00000555 | 9.76032964 | 0.36250866892 | 1.07551912846 | 0.41822295 | 0.000101387381818 | 0.00110160000 | 0.41932455000 | 1 | 141 | 2.77890909091 | 4.55940329028 | knapsack: **836** ; bnb: **1326** ; srd: **1963** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 14.55223099 | 133.716444444 | 129 | 9156 | 11943 | 4344 | 5 | 2916 | bnb: **1378** ; knapsack: **50** ; Total: **1428** | 0.00000555 | 9.76032964 | 0.349367720504 | 1.04716899928 | 0.43710914 | 0.000100623651013 | 0.000877200000 | 0.437986340000 | 1 | 141 | 2.74930939227 | 4.47861852919 | knapsack: **891** ; bnb: **1378** ; srd: **2075** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 21.21757823 | 135.589071429 | 190 | 9452 | 12327 | 4548 | 6 | 3065 | bnb: **1430** ; knapsack: **53** ; Total: **1483** | 0.00000555 | 9.76032964 | 0.338524853494 | 1.02420665561 | 0.45762734 | 0.000100621666667 | 0.00129200000 | 0.45891934000 | 1 | 141 | 2.71042216359 | 4.39594215762 | knapsack: **922** ; bnb: **1430** ; srd: **2196** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 17.39594294 | 136.955931034 | 204 | 9756 | 12755 | 4744 | 6 | 3203 | bnb: **1487** ; knapsack: **54** ; Total: **1541** | 0.00000555 | 9.76032964 | 0.327711063853 | 1.00392977481 | 0.47254636 | 0.0000996092664418 | 0.00138720000 | 0.47393356000 | 1 | 141 | 2.68865935919 | 4.33007589028 | knapsack: **964** ; bnb: **1487** ; srd: **2293** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 17.70608622 | 137.846933333 | 138 | 10038 | 13251 | 4962 | 6 | 3351 | bnb: **1556** ; knapsack: **55** ; Total: **1611** | 0.00000555 | 9.76032964 | 0.316205790376 | 0.983647108890 | 0.48862539 | 0.0000984734764208 | 0.000938400000 | 0.489563790000 | 1 | 141 | 2.67049576784 | 4.26321677265 | knapsack: **1005** ; bnb: **1556** ; srd: **2401** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 14.64221675 | 137.839997348 | 135 | 10076 | 13324 | 5005 | 6 | 3383 | bnb: **1567** ; knapsack: **55** ; Total: **1622** | 0.00000555 | 9.76032964 | 0.314534553651 | 0.979350943449 | 0.49280012 | 0.0000984615624376 | 0.000918000000 | 0.493718120000 | 1 | 141 | 2.66213786214 | 4.24724660715 | knapsack: **1012** ; bnb: **1567** ; srd: **2426** |
----END SIMULATION RESULTS----


